,Country,value
206,Seychelles,-inf
207,Sierra Leone,0.7520609348021946
208,Singapore,-inf
209,Sint Maarten (Dutch part),-inf
210,Slovakia,-inf
211,Slovenia,0.27750407784816084
212,Solomon Islands,0.3923436433493233
213,Somalia,0.49562051329896917
214,South Africa,0.7810906587569995
215,South America,0.9463057345186073
216,South Georgia and the South Sandwich Islands,-inf
217,South Korea,0.19450089174638371
218,South Sudan,0.877550650163479
219,Spain,0.5764816720868394
220,Sri Lanka,0.5026081772853215
221,Sudan,0.7901079335730351
222,Suriname,0.6167927504098198
223,Svalbard and Jan Mayen,-inf
224,Sweden,0.35798799125074887
225,Switzerland,-inf
226,Syria,0.5760222667818136
227,Taiwan,0.26601767544361665
228,Tajikistan,0.39467005408971917
229,Tanzania,0.8230723113236426
230,Thailand,0.7552182086555556
231,Togo,0.6856236664711425
232,Tokelau,-inf
233,Tonga,-inf
234,Trinidad and Tobago,0.4609866783892675
235,Tunisia,0.42236219882084886
236,Turkey,0.6505903380282287
237,Turkmenistan,0.4882874734984495
238,Turks and Caicos Islands,0.2769988504743297
239,Tuvalu,-inf
240,Uganda,0.7212089404430169
241,Ukraine,0.7172332771118758
242,United Arab Emirates,0.28498426914373987
243,United Kingdom,0.42389328928084913
244,United States,0.7928208639781912
245,United States Minor Outlying Islands,-inf
246,United States Virgin Islands,-inf
247,Uruguay,0.48697986130882137
248,Uzbekistan,0.5355104059695741
249,Vanuatu,0.4537189225845484
250,Vatican,-inf
251,Venezuela,0.8297022286794691
252,Vietnam,0.6855394105266365
253,Wallis and Futuna,-inf
254,Western Sahara,-inf
255,Yemen,0.15040919658585658
256,Zambia,0.8699447194064136
257,Zimbabwe,0.7331890412925653
