Country,value
Algeria,0.15103504307057147
Argentina,0.15522924526607354
Bangladesh,0.19609328934063952
Belgium,0.13305072372953033
Brazil,0.1831028292000761
Bulgaria,0.11291800876167177
Cameroon,0.15602702910463823
Canada,0.16077844136143676
Chile,0.12878036295794468
China,0.19947533836298223
Colombia,0.15127040373858133
Congo,0.1674072186847254
Costa Rica,0.1620012340632868
Croatia,0.10895226804834719
Djibouti,0.1335915735596928
Ecuador,0.14315790351831506
El Salvador,0.11131893013211161
Equatorial Guinea,0.1156584700529097
Gabon,0.12886600071456467
Georgia,0.14730348914786823
Germany,0.12077835766861719
Guatemala,0.18283914644293775
Guyana,0.13768871600487514
Honduras,0.14416703459489005
India,0.19813183009649568
Indonesia,0.16986352952564984
Iraq,0.14611491178871433
Latvia,0.07650053881438618
Liberia,0.13759291651253003
Mauritania,0.13293048060085824
Mexico,0.15673651193250593
Morocco,0.14043582970716084
Mozambique,0.17243829610121048
Myanmar,0.16164975059892064
New Zealand,0.10899149073412821
Nigeria,0.177145755259156
Panama,0.11882542857134112
Papua New Guinea,0.13170982706154877
Peru,0.15380561494869266
Poland,0.10653477905911143
Romania,0.12110036761752266
Sao Tome and Principe,0.1415511697711044
Senegal,0.15201048054526656
Slovenia,0.16367230783128248
Somalia,0.178134945594576
South Africa,0.1562181317513999
Spain,0.12274582527819589
Sudan,0.16603782762335265
Suriname,0.12335855008196397
Sweden,0.11748035277291083
Thailand,0.17560559223773556
Togo,0.1371247332942285
Tunisia,0.1402090423611871
Ukraine,0.14363730939021677
Zimbabwe,0.14684101656920673
